gen evals time best_fitness
290 29100 281 29.0
291 29200 281 29.0
292 29300 282 29.0
293 29400 282 29.0
294 29500 283 29.0
295 29600 284 29.0
296 29700 284 29.0
297 29800 285 29.0
298 29900 287 29.0
299 30000 288 29.0
300 30100 289 29.0
301 30200 290 29.0
302 30300 290 29.0
303 30400 291 29.0
304 30500 292 29.0
305 30600 292 29.0
306 30700 293 29.0
307 30800 294 29.0
308 30900 294 29.0
309 31000 295 29.0
310 31100 295 29.0
311 31200 297 29.0
312 31300 298 29.0
313 31400 299 29.0
314 31500 299 29.0
315 31600 300 29.0
316 31700 301 29.0
317 31800 302 29.0
318 31900 303 29.0
319 32000 304 29.0
320 32100 304 29.0
321 32200 305 29.0
322 32300 307 29.0
323 32400 307 29.0
324 32500 309 29.0
325 32600 310 29.0
326 32700 310 29.0
327 32800 311 29.0
328 32900 311 29.0
329 33000 312 29.0
330 33100 313 29.0
331 33200 313 29.0
332 33300 314 29.0
333 33400 315 29.0
334 33500 317 29.0
335 33600 318 29.0
336 33700 319 29.0
337 33800 320 29.0
338 33900 321 29.0
339 34000 321 29.0
340 34100 322 29.0
341 34200 322 29.0
342 34300 323 29.0
343 34400 324 29.0
344 34500 324 29.0
345 34600 325 29.0
346 34700 327 29.0
347 34800 328 29.0
348 34900 329 29.0
349 35000 330 29.0
350 35100 330 29.0
351 35200 331 29.0
352 35300 331 29.0
353 35400 332 29.0
354 35500 333 29.0
355 35600 333 29.0
356 35700 334 29.0
357 35800 335 29.0
358 35900 337 29.0
359 36000 338 29.0
360 36100 339 29.0
361 36200 340 29.0
362 36300 341 29.0
363 36400 341 29.0
364 36500 342 29.0
365 36600 342 29.0
366 36700 343 29.0
367 36800 343 29.0
368 36900 344 29.0
369 37000 344 29.0
370 37100 345 29.0
371 37200 347 29.0
372 37300 347 29.0
373 37400 349 29.0
374 37500 349 29.0
375 37600 350 29.0
376 37700 351 29.0
377 37800 351 29.0
378 37900 352 29.0
379 38000 353 29.0
380 38100 353 29.0
381 38200 354 29.0
382 38300 355 29.0
383 38400 356 29.0
384 38500 357 29.0
385 38600 358 29.0
386 38700 359 29.0
387 38800 359 29.0
388 38900 360 29.0
389 39000 361 29.0
390 39100 361 29.0
391 39200 362 29.0
392 39300 362 29.0
393 39400 363 29.0
394 39500 363 29.0
395 39600 364 29.0
396 39700 364 29.0
397 39800 365 29.0
398 39900 367 29.0
399 40000 368 29.0
400 40100 369 29.0
401 40200 370 29.0
402 40300 370 29.0
403 40400 371 29.0
404 40500 372 29.0
405 40600 372 29.0
406 40700 373 29.0
407 40800 374 29.0
408 40900 374 29.0
409 41000 375 29.0
410 41100 376 29.0
411 41200 377 29.0
412 41300 378 29.0
413 41400 379 29.0
414 41500 380 29.0
415 41600 380 29.0
416 41700 381 29.0
417 41800 382 29.0
418 41900 383 29.0
419 42000 383 29.0
420 42100 384 29.0
421 42200 385 29.0
422 42300 387 29.0
423 42400 387 29.0
424 42500 389 29.0
425 42600 389 29.0
426 42700 390 29.0
427 42800 391 29.0
428 42900 391 29.0
429 43000 392 29.0
430 43100 392 29.0
431 43200 393 29.0
432 43300 393 29.0
433 43400 394 29.0
434 43500 395 29.0
435 43600 396 29.0
436 43700 397 29.0
437 43800 398 29.0
438 43900 399 29.0
439 44000 400 29.0
440 44100 400 29.0
441 44200 401 29.0
442 44300 402 29.0
443 44400 403 29.0
444 44500 403 29.0
445 44600 404 29.0
446 44700 404 29.0
447 44800 405 29.0
448 44900 407 29.0
449 45000 407 29.0
450 45100 408 29.0
451 45200 409 29.0
452 45300 410 29.0
453 45400 410 29.0
454 45500 411 29.0
455 45600 412 29.0
456 45700 412 29.0
457 45800 413 29.0
458 45900 413 29.0
459 46000 414 29.0
460 46100 414 29.0
461 46200 415 29.0
462 46300 417 29.0
463 46400 417 29.0
464 46500 419 29.0
465 46600 419 29.0
466 46700 420 29.0
467 46800 420 29.0
468 46900 421 29.0
469 47000 421 29.0
470 47100 422 29.0
471 47200 423 29.0
472 47300 423 29.0
473 47400 424 29.0
474 47500 424 29.0
475 47600 425 29.0
476 47700 427 29.0
477 47800 427 29.0
478 47900 428 29.0
479 48000 429 29.0
480 48100 429 29.0
481 48200 430 29.0
482 48300 430 29.0
483 48400 431 29.0
484 48500 432 29.0
485 48600 432 29.0
486 48700 433 29.0
487 48800 433 29.0
488 48900 434 29.0
489 49000 434 29.0
490 49100 435 29.0
491 49200 437 29.0
492 49300 438 29.0
493 49400 439 29.0
494 49500 439 29.0
495 49600 440 29.0
496 49700 440 29.0
497 49800 441 29.0
498 49900 441 29.0
499 50000 442 29.0
500 50100 443 29.0
501 50200 443 29.0
502 50300 444 29.0
503 50400 444 29.0
504 50500 445 29.0
505 50600 445 29.0
506 50700 446 29.0
507 50800 448 29.0
508 50900 449 29.0
509 51000 449 29.0
510 51100 450 29.0
511 51200 450 29.0
512 51300 451 29.0
513 51400 452 29.0
514 51500 452 29.0
515 51600 453 29.0
516 51700 454 29.0
517 51800 454 29.0
518 51900 455 29.0
519 52000 455 29.0
520 52100 456 29.0
521 52200 457 29.0
522 52300 458 29.0
523 52400 459 29.0
524 52500 460 29.0
525 52600 460 29.0
526 52700 461 29.0
527 52800 461 29.0
528 52900 462 29.0
529 53000 463 29.0
530 53100 463 29.0
531 53200 464 29.0
532 53300 464 29.0
533 53400 465 29.0
534 53500 465 29.0
535 53600 466 29.0
536 53700 468 29.0
537 53800 469 29.0
538 53900 470 29.0
539 54000 470 29.0
540 54100 471 29.0
541 54200 473 29.0
542 54300 473 29.0
543 54400 474 29.0
544 54500 474 29.0
545 54600 475 29.0
546 54700 475 29.0
547 54800 476 29.0
548 54900 478 29.0
549 55000 479 29.0
550 55100 480 29.0
551 55200 481 29.0
552 55300 481 29.0
553 55400 482 29.0
554 55500 482 29.0
555 55600 483 29.0
556 55700 483 29.0
557 55800 484 29.0
558 55900 485 29.0
559 56000 486 29.0
560 56100 487 29.0
561 56200 488 29.0
562 56300 489 29.0
563 56400 490 29.0
564 56500 490 29.0
565 56600 491 29.0
566 56700 491 29.0
567 56800 492 29.0
568 56900 492 29.0
569 57000 493 29.0
570 57100 493 29.0
571 57200 494 29.0
572 57300 495 29.0
573 57400 495 29.0
574 57500 497 29.0
575 57600 497 29.0
576 57700 499 29.0
577 57800 499 29.0
578 57900 500 29.0
579 58000 500 29.0
580 58100 501 29.0
581 58200 501 29.0
582 58300 502 29.0
583 58400 503 29.0
584 58500 503 29.0
585 58600 504 29.0
586 58700 505 29.0
587 58800 505 29.0
588 58900 507 29.0
589 59000 507 29.0
590 59100 509 29.0
591 59200 509 29.0
592 59300 510 29.0
593 59400 510 29.0
594 59500 511 29.0
595 59600 511 29.0
596 59700 512 29.0
597 59800 512 29.0
598 59900 513 29.0
599 60000 513 29.0
600 60100 514 29.0
601 60200 515 29.0
602 60300 515 29.0
603 60400 517 29.0
604 60500 518 29.0
605 60600 519 29.0
606 60700 519 29.0
607 60800 520 29.0
608 60900 521 29.0
609 61000 521 29.0
610 61100 522 29.0
611 61200 522 29.0
612 61300 523 29.0
613 61400 523 29.0
614 61500 524 29.0
615 61600 524 29.0
616 61700 525 29.0
617 61800 527 29.0
618 61900 527 29.0
619 62000 529 29.0
620 62100 529 29.0
621 62200 530 29.0
622 62300 530 29.0
623 62400 531 29.0
624 62500 532 29.0
625 62600 532 29.0
626 62700 533 29.0
627 62800 533 29.0
628 62900 534 29.0
629 63000 534 29.0
630 63100 535 29.0
631 63200 537 29.0
632 63300 538 29.0
633 63400 539 29.0
634 63500 540 29.0
635 63600 540 29.0
636 63700 541 29.0
637 63800 541 29.0
638 63900 542 29.0
639 64000 542 29.0
640 64100 543 29.0
641 64200 543 29.0
642 64300 544 29.0
643 64400 545 29.0
644 64500 545 29.0
645 64600 547 29.0
646 64700 547 29.0
647 64800 549 29.0
648 64900 549 29.0
649 65000 550 29.0
650 65100 550 29.0
651 65200 551 29.0
652 65300 551 29.0
653 65400 552 29.0
654 65500 553 29.0
655 65600 553 29.0
656 65700 554 29.0
657 65800 554 29.0
658 65900 555 29.0
659 66000 557 29.0
660 66100 557 29.0
661 66200 559 29.0
662 66300 559 29.0
663 66400 560 29.0
664 66500 560 29.0
665 66600 561 29.0
666 66700 561 29.0
667 66800 562 29.0
668 66900 562 29.0
669 67000 563 29.0
670 67100 563 29.0
671 67200 564 29.0
672 67300 565 29.0
673 67400 565 29.0
674 67500 567 29.0
675 67600 568 29.0
676 67700 569 29.0
677 67800 570 29.0
678 67900 571 29.0
679 68000 571 29.0
680 68100 572 29.0
681 68200 573 29.0
682 68300 573 29.0
683 68400 574 29.0
684 68500 575 29.0
685 68600 576 29.0
686 68700 577 29.0
687 68800 578 29.0
688 68900 579 29.0
689 69000 580 29.0
690 69100 581 29.0
691 69200 581 29.0
692 69300 582 29.0
693 69400 582 29.0
694 69500 583 29.0
695 69600 584 29.0
696 69700 585 29.0
697 69800 585 29.0
698 69900 588 29.0
699 70000 589 29.0
700 70100 590 29.0
701 70200 591 29.0
702 70300 591 29.0
703 70400 592 29.0
704 70500 592 29.0
705 70600 593 29.0
706 70700 594 29.0
707 70800 594 29.0
708 70900 595 29.0
709 71000 596 29.0
710 71100 598 29.0
711 71200 598 29.0
712 71300 600 29.0
713 71400 600 29.0
714 71500 602 29.0
715 71600 602 29.0
716 71700 603 29.0
717 71800 604 29.0
718 71900 604 29.0
719 72000 605 29.0
720 72100 606 29.0
721 72200 607 29.0
722 72300 608 29.0
723 72400 609 29.0
724 72500 610 29.0
725 72600 611 29.0
726 72700 611 29.0
727 72800 612 29.0
728 72900 613 29.0
729 73000 613 29.0
730 73100 614 29.0
731 73200 614 29.0
732 73300 615 29.0
733 73400 616 29.0
734 73500 618 29.0
735 73600 619 29.0
736 73700 620 29.0
737 73800 621 29.0
738 73900 621 29.0
739 74000 622 29.0
740 74100 623 29.0
741 74200 623 29.0
742 74300 624 29.0
743 74400 624 29.0
744 74500 625 29.0
745 74600 626 29.0
746 74700 628 29.0
747 74800 630 29.0
748 74900 630 29.0
749 75000 631 29.0
750 75100 631 29.0
751 75200 632 29.0
752 75300 633 29.0
753 75400 633 29.0
754 75500 634 29.0
755 75600 635 29.0
756 75700 635 29.0
757 75800 636 29.0
758 75900 638 29.0
759 76000 639 29.0
760 76100 640 29.0
761 76200 640 29.0
762 76300 641 29.0
763 76400 642 29.0
764 76500 642 29.0
765 76600 643 29.0
766 76700 643 29.0
767 76800 644 29.0
768 76900 645 29.0
769 77000 645 29.0
770 77100 646 29.0
771 77200 648 29.0
772 77300 648 29.0
773 77400 650 29.0
774 77500 650 29.0
775 77600 651 29.0
776 77700 652 29.0
777 77800 652 29.0
778 77900 653 29.0
779 78000 654 29.0
780 78100 654 29.0
781 78200 655 29.0
782 78300 655 29.0
783 78400 657 29.0
784 78500 658 29.0
785 78600 659 29.0
786 78700 660 29.0
787 78800 660 29.0
788 78900 661 29.0
789 79000 661 29.0
790 79100 662 29.0
791 79200 663 29.0
792 79300 663 29.0
793 79400 664 29.0
794 79500 664 29.0
795 79600 665 29.0
796 79700 665 29.0
797 79800 667 29.0
798 79900 668 29.0
799 80000 670 29.0
800 80100 670 29.0
801 80200 671 29.0
802 80300 671 29.0
803 80400 672 29.0
804 80500 673 29.0
805 80600 673 29.0
806 80700 674 29.0
807 80800 674 29.0
808 80900 675 29.0
809 81000 676 29.0
810 81100 678 29.0
811 81200 678 29.0
812 81300 680 29.0
813 81400 680 29.0
814 81500 681 29.0
815 81600 681 29.0
816 81700 682 29.0
817 81800 683 29.0
818 81900 683 29.0
819 82000 684 29.0
820 82100 685 29.0
821 82200 685 29.0
822 82300 687 29.0
823 82400 688 29.0
824 82500 689 29.0
825 82600 690 29.0
826 82700 690 29.0
827 82800 691 29.0
828 82900 692 29.0
829 83000 692 29.0
830 83100 693 29.0
831 83200 694 29.0
832 83300 695 29.0
833 83400 696 29.0
834 83500 698 29.0
835 83600 698 29.0
836 83700 700 29.0
837 83800 700 29.0
838 83900 701 29.0
839 84000 702 29.0
840 84100 702 29.0
841 84200 703 29.0
842 84300 704 29.0
843 84400 704 29.0
844 84500 705 29.0
845 84600 705 29.0
846 84700 707 29.0
847 84800 707 29.0
848 84900 709 29.0
849 85000 709 29.0
850 85100 710 29.0
851 85200 711 29.0
852 85300 711 29.0
853 85400 712 29.0
854 85500 712 29.0
855 85600 713 29.0
856 85700 714 29.0
857 85800 714 29.0
858 85900 715 29.0
859 86000 715 29.0
860 86100 717 29.0
861 86200 718 29.0
862 86300 719 29.0
863 86400 720 29.0
864 86500 721 29.0
865 86600 721 29.0
866 86700 722 29.0
867 86800 722 29.0
868 86900 723 29.0
869 87000 723 29.0
870 87100 724 29.0
871 87200 725 29.0
872 87300 725 29.0
873 87400 727 29.0
874 87500 728 29.0
875 87600 729 29.0
876 87700 730 29.0
877 87800 730 29.0
878 87900 731 29.0
879 88000 732 29.0
880 88100 733 29.0
881 88200 733 29.0
882 88300 734 29.0
883 88400 735 29.0
884 88500 737 29.0
885 88600 738 29.0
886 88700 739 29.0
887 88800 740 29.0
888 88900 741 29.0
889 89000 741 29.0
890 89100 742 29.0
891 89200 743 29.0
892 89300 743 29.0
893 89400 744 29.0
894 89500 744 29.0
895 89600 745 29.0
896 89700 747 29.0
897 89800 748 29.0
898 89900 749 29.0
899 90000 750 29.0
900 90100 750 29.0
901 90200 751 29.0
902 90300 751 29.0
903 90400 752 29.0
904 90500 753 29.0
905 90600 753 29.0
906 90700 754 29.0
907 90800 755 29.0
908 90900 755 29.0
909 91000 757 29.0
910 91100 758 29.0
911 91200 759 29.0
912 91300 759 29.0
913 91400 760 29.0
914 91500 761 29.0
915 91600 761 29.0
916 91700 762 29.0
917 91800 762 29.0
918 91900 763 29.0
919 92000 764 29.0
920 92100 764 29.0
921 92200 765 29.0
922 92300 765 29.0
923 92400 767 29.0
924 92500 768 29.0
925 92600 770 29.0
926 92700 770 29.0
927 92800 771 29.0
928 92900 771 29.0
929 93000 772 29.0
930 93100 772 29.0
931 93200 773 29.0
932 93300 774 29.0
933 93400 774 29.0
934 93500 775 29.0
935 93600 775 29.0
936 93700 777 29.0
937 93800 778 29.0
938 93900 779 29.0
939 94000 780 29.0
940 94100 780 29.0
941 94200 781 29.0
942 94300 782 29.0
943 94400 782 29.0
944 94500 783 29.0
945 94600 783 29.0
946 94700 784 29.0
947 94800 785 29.0
948 94900 786 29.0
949 95000 788 29.0
950 95100 788 29.0
951 95200 790 29.0
952 95300 790 29.0
953 95400 791 29.0
954 95500 792 29.0
955 95600 792 29.0
956 95700 793 29.0
957 95800 793 29.0
958 95900 794 29.0
959 96000 795 29.0
960 96100 795 29.0
961 96200 796 29.0
962 96300 798 29.0
963 96400 798 29.0
964 96500 800 29.0
965 96600 800 29.0
966 96700 801 29.0
967 96800 802 29.0
968 96900 802 29.0
969 97000 803 29.0
970 97100 804 29.0
971 97200 804 29.0
972 97300 805 29.0
973 97400 806 29.0
974 97500 806 29.0
975 97600 808 29.0
976 97700 809 29.0
977 97800 810 29.0
978 97900 811 29.0
979 98000 811 29.0
980 98100 812 29.0
981 98200 813 29.0
982 98300 813 29.0
983 98400 814 29.0
984 98500 814 29.0
985 98600 815 29.0
986 98700 816 29.0
987 98800 816 29.0
988 98900 819 29.0
989 99000 819 29.0
990 99100 821 29.0
991 99200 821 29.0
992 99300 822 29.0
993 99400 822 29.0
994 99500 823 29.0
995 99600 824 29.0
996 99700 824 29.0
997 99800 825 29.0
998 99900 825 29.0
999 100000 826 29.0
1000 100100 827 29.0
1001 100200 827 29.0
1002 100300 830 29.0
1003 100400 830 29.0
1004 100500 831 29.0
1005 100600 831 29.0
1006 100700 832 29.0
1007 100800 833 29.0
1008 100900 833 29.0
1009 101000 834 29.0
1010 101100 834 29.0
1011 101200 835 29.0
1012 101300 836 29.0
1013 101400 836 29.0
1014 101500 837 29.0
1015 101600 838 29.0
1016 101700 838 29.0
1017 101800 840 29.0
1018 101900 841 29.0
1019 102000 842 29.0
1020 102100 842 29.0
1021 102200 843 29.0
1022 102300 843 29.0
1023 102400 844 29.0
1024 102500 845 29.0
1025 102600 845 29.0
1026 102700 846 29.0
1027 102800 846 29.0
1028 102900 847 29.0
1029 103000 847 29.0
1030 103100 848 29.0
1031 103200 850 29.0
1032 103300 851 29.0
1033 103400 852 29.0
1034 103500 853 29.0
1035 103600 853 29.0
1036 103700 854 29.0
1037 103800 855 29.0
1038 103900 855 29.0
1039 104000 856 29.0
1040 104100 856 29.0
1041 104200 857 29.0
1042 104300 857 29.0
1043 104400 858 29.0
1044 104500 860 29.0
1045 104600 861 29.0
1046 104700 862 29.0
1047 104800 863 29.0
1048 104900 863 29.0
1049 105000 864 29.0
1050 105100 864 29.0
1051 105200 865 29.0
1052 105300 866 29.0
1053 105400 866 29.0
1054 105500 867 29.0
1055 105600 868 29.0
1056 105700 870 29.0
1057 105800 870 29.0
1058 105900 871 29.0
1059 106000 872 29.0
1060 106100 873 29.0
1061 106200 873 29.0
1062 106300 874 29.0
1063 106400 875 29.0
1064 106500 875 29.0
1065 106600 876 29.0
1066 106700 876 29.0
1067 106800 877 29.0
1068 106900 877 29.0
1069 107000 878 29.0
1070 107100 881 29.0
1071 107200 881 29.0
1072 107300 882 29.0
1073 107400 882 29.0
1074 107500 883 29.0
1075 107600 884 29.0
1076 107700 884 29.0
1077 107800 885 29.0
1078 107900 885 29.0
1079 108000 886 29.0
1080 108100 887 29.0
1081 108200 887 29.0
1082 108300 888 29.0
1083 108400 890 29.0
1084 108500 891 29.0
1085 108600 892 29.0
1086 108700 892 29.0
1087 108800 893 29.0
1088 108900 893 29.0
1089 109000 894 29.0
1090 109100 895 29.0
1091 109200 895 29.0
1092 109300 896 29.0
1093 109400 896 29.0
1094 109500 897 29.0
1095 109600 898 29.0
1096 109700 900 29.0
1097 109800 900 29.0
1098 109900 902 29.0
1099 110000 902 29.0
1100 110100 903 29.0
1101 110200 904 29.0
1102 110300 904 29.0
1103 110400 905 29.0
1104 110500 905 29.0
1105 110600 906 29.0
1106 110700 907 29.0
1107 110800 907 29.0
1108 110900 908 29.0
1109 111000 910 29.0
1110 111100 910 29.0
1111 111200 911 29.0
1112 111300 912 29.0
1113 111400 913 29.0
1114 111500 913 29.0
1115 111600 914 29.0
1116 111700 914 29.0
1117 111800 915 29.0
1118 111900 916 29.0
1119 112000 916 29.0
1120 112100 920 29.0
1121 112200 920 29.0
1122 112300 921 29.0
1123 112400 922 29.0
1124 112500 923 29.0
1125 112600 923 29.0
1126 112700 924 29.0
1127 112800 925 29.0
1128 112900 925 29.0
1129 113000 926 29.0
1130 113100 927 29.0
1131 113200 927 29.0
1132 113300 928 29.0
1133 113400 930 29.0
1134 113500 931 29.0
1135 113600 931 29.0
1136 113700 932 29.0
1137 113800 932 29.0
1138 113900 933 29.0
1139 114000 934 29.0
1140 114100 934 29.0
1141 114200 935 29.0
1142 114300 936 29.0
1143 114400 936 29.0
1144 114500 937 29.0
1145 114600 938 29.0
1146 114700 940 29.0
1147 114800 940 29.0
1148 114900 941 29.0
1149 115000 942 29.0
1150 115100 943 29.0
1151 115200 943 29.0
1152 115300 944 29.0
1153 115400 944 29.0
1154 115500 946 29.0
1155 115600 946 29.0
1156 115700 947 29.0
1157 115800 948 29.0
1158 115900 950 29.0
1159 116000 952 29.0
1160 116100 953 29.0
1161 116200 954 29.0
1162 116300 955 29.0
1163 116400 955 29.0
1164 116500 956 29.0
